epoch,categorical_accuracy,loss,lr,val_5-shot_5-way_acc,val_loss
1,0.2906666666666668,10.727199331047627,0.001,0.22,10.89884874515821
2,0.28466666666666657,6.689819949226188,0.001,0.23,3.89778010271259
3,0.29946666666666655,3.411518021352813,0.001,0.208,1.6885075743764029
4,0.42466666666666664,1.3299220837310117,0.001,0.25,1.6242589647420558
5,0.44786666666666664,1.233877690204741,0.001,0.278,1.7017753873542756
6,0.4639999999999999,1.1510487812013164,0.001,0.232,1.6591438341931766
7,0.48666666666666664,1.1444434072174092,0.001,0.248,1.6927753116072417
8,0.5032,1.1001348708145091,0.001,0.22,1.7693344794814403
9,0.5269333333333336,1.0549576519168036,0.001,0.228,1.6640291552752589
10,0.5279999999999999,1.0382320514747831,0.001,0.244,1.6841496361913169
11,0.5541333333333334,0.9861281005067497,0.001,0.222,1.7908022608182521
12,0.5673333333333332,0.9706990424461336,0.001,0.248,1.749946796266688
13,0.5725333333333333,0.9606286164469996,0.001,0.238,1.675033493654858
14,0.5808000000000001,0.9468966365931615,0.001,0.246,1.6990874072764413
15,0.5955999999999999,0.9018471157510162,0.001,0.218,1.713189963766163
16,0.6187999999999999,0.8839559779829981,0.001,0.226,1.869046593342405
17,0.6429333333333332,0.8131309093043985,0.001,0.246,1.7212579486804422
18,0.6494666666666667,0.7951695511502322,0.001,0.24,1.7741137024415252
19,0.6576000000000002,0.7904534406956348,0.001,0.24,1.8168897150570111
20,0.6657333333333331,0.7704228165934137,0.001,0.248,1.6756962716762143
21,0.6506666666666666,0.7998144723732391,0.001,0.236,1.8284328837809545
22,0.6758666666666664,0.7281659036101429,0.001,0.182,1.887198030384178
23,0.6968000000000001,0.7018417980766968,0.001,0.22,1.769474667791287
24,0.686666666666667,0.7158966093782299,0.001,0.23,1.7447706669466132
25,0.6501333333333332,0.7637554021654112,0.001,0.282,1.7372896054873697
26,0.6721333333333337,0.7437005906652436,0.001,0.222,1.7721612146092158
27,0.6757333333333332,0.7144321945068044,0.001,0.224,1.8418827721211368
28,0.7075999999999999,0.6683642364875876,0.001,0.246,1.7813112170897891
29,0.7149333333333332,0.6360868126973876,0.001,0.25,1.8184584814583153
30,0.6989333333333332,0.6718418090846592,0.001,0.246,1.951839932958607
31,0.7038666666666664,0.6564128590811821,0.001,0.218,1.7968955168889695
32,0.7210666666666669,0.6203626727558198,0.001,0.22,1.8006486189358435
33,0.7137333333333332,0.6311026519296683,0.001,0.242,1.9279522315667676
34,0.7172000000000002,0.6138814707949443,0.001,0.23,1.7829725844461919
35,0.7113333333333333,0.6346493574555846,0.001,0.242,1.7982265534533537
36,0.750933333333333,0.5575161824428038,0.001,0.258,1.8265292663084713
37,0.7147999999999998,0.6209058618593748,0.001,0.244,1.7415468265159846
38,0.7301333333333332,0.5841680697580719,0.001,0.252,1.8646885353956164
39,0.7197333333333333,0.5985495760281251,0.001,0.234,1.7925533099854825
40,0.7383999999999997,0.5692165726224229,0.001,0.268,1.788081465986455
41,0.7297333333333339,0.6024490816993475,0.001,0.252,1.738335571387242
42,0.7405333333333334,0.5808171909249058,0.001,0.23,1.84688070128797
43,0.748266666666667,0.5512677129773427,0.001,0.282,1.776170047068651
44,0.7490666666666667,0.5587723607741583,0.001,0.25,1.957877223638713
45,0.7462666666666665,0.553323320990757,0.001,0.26,1.7924112357353645
46,0.7708000000000002,0.5035111282133365,0.0005,0.224,1.9612249536622217
47,0.7553333333333333,0.5217898472748594,0.0005,0.238,1.7828696632430068
48,0.7601333333333332,0.5172760647467595,0.0005,0.216,1.8719289892674358
49,0.7707999999999999,0.5019325635028287,0.0005,0.242,1.8646300650292822
50,0.7645333333333336,0.5232514090834095,0.0005,0.21,1.8745406695960527
51,0.7854666666666668,0.47434519483553067,0.0005,0.224,1.8630476598994294
52,0.7822666666666663,0.4892380266969883,0.0005,0.232,1.8622321690503363
53,0.7719999999999999,0.501424825730539,0.0005,0.226,1.8328748186441683
54,0.7767999999999998,0.4822235055873423,0.0005,0.248,1.8550862444163057
55,0.7809333333333334,0.4709814099369428,0.0005,0.25,1.79633264114277
56,0.7965333333333338,0.44222508941063376,0.0005,0.224,1.9294412052778112
57,0.7622666666666668,0.517713221954835,0.0005,0.226,1.892833191822916
58,0.7937333333333334,0.45329062514618107,0.0005,0.256,1.7188963689705836
59,0.7796000000000001,0.47680247303436146,0.0005,0.216,1.836375344658783
60,0.7822666666666664,0.4670542395519759,0.0005,0.246,1.8278545993188913
61,0.8146666666666664,0.41394625764682524,0.0005,0.254,1.8392042582802552
62,0.7826666666666668,0.4847969840452964,0.0005,0.244,1.782595236819933
63,0.8168,0.4083146917972846,0.0005,0.248,1.8929422953802748
64,0.7964000000000004,0.457948563644954,0.0005,0.236,1.8559961673888652
65,0.8064000000000001,0.4329295618289229,0.0005,0.244,1.8730532943706277
66,0.821733333333333,0.39626570642089093,0.00025,0.286,1.8098242053229097
67,0.8341333333333332,0.3623499989071968,0.00025,0.238,1.8575764580949903
68,0.8221333333333333,0.3833111931768529,0.00025,0.246,1.8176219540875322
69,0.8062666666666667,0.42438553572633103,0.00025,0.25,1.8729369856471274
70,0.8262666666666665,0.3811722711489455,0.00025,0.246,1.8687157694840915
71,0.8194666666666666,0.39807019914093844,0.00025,0.262,1.9118378877587743
