epoch,categorical_accuracy,loss,lr,val_5-shot_5-way_acc,val_loss
1,0.21760000000000004,14.115944351048121,0.001,0.258,12.946722276213738
2,0.2693333333333333,12.639116675430387,0.001,0.274,12.161329766225036
3,0.2372,11.694045563324366,0.001,0.238,10.620533999242896
4,0.2377333333333334,8.512710389673618,0.001,0.224,4.020218272498752
5,0.23653333333333332,4.934609886413793,0.001,0.244,3.5994866735439306
6,0.22946666666666654,4.897548679713342,0.001,0.266,5.381427483269568
7,0.22773333333333345,3.823793011744324,0.001,0.216,2.5765531755479913
8,0.21240000000000006,2.8144935465281287,0.001,0.212,2.0351777362566428
9,0.20906666666666657,2.239262245112386,0.001,0.204,2.5105261959971896
10,0.2109333333333332,2.3162088060329165,0.001,0.212,1.7735666564990678
11,0.20893333333333317,1.7663290308734019,0.001,0.208,1.6647133782144945
12,0.21479999999999996,1.6485642480912528,0.001,0.232,1.6283573769412085
13,0.23853333333333324,1.6338975922900145,0.001,0.2,1.6619251726970279
14,0.24453333333333327,1.6099319690114575,0.001,0.234,1.613190316506835
15,0.254,1.5958109334982264,0.001,0.26,1.5819916723617389
16,0.2689333333333332,1.5810308752909268,0.001,0.22,1.6224713754803872
17,0.2668,1.582306513240221,0.001,0.282,1.668234150148068
18,0.28013333333333335,1.600911380998872,0.001,0.286,1.5534459801243286
19,0.2778666666666667,1.5760047337405252,0.001,0.276,1.5583735114161725
20,0.2790666666666667,1.5634717925782844,0.001,0.294,1.5583975218995436
21,0.2744000000000001,1.574212999426036,0.001,0.27,1.5628452230385466
22,0.2846666666666666,1.5606545924574649,0.001,0.284,1.5637960259390808
23,0.30826666666666663,1.5438712883700334,0.001,0.292,1.5667762442887785
24,0.3118666666666666,1.5417757132513967,0.001,0.312,1.5260444538195967
25,0.3337333333333332,1.5196174470676822,0.001,0.318,1.5182828832457813
26,0.3087999999999999,1.5376843798522635,0.001,0.32,1.5136813541566618
27,0.3395999999999998,1.4950235292585807,0.001,0.354,1.5848180021021807
28,0.34679999999999994,1.4861473352618344,0.001,0.32,1.5246668151046625
29,0.33693333333333314,1.4886635737744056,0.001,0.33,1.5109122293667894
30,0.3557333333333332,1.4696691042286587,0.001,0.314,1.556846978200351
31,0.3338666666666665,1.4874102669111315,0.001,0.342,1.501789226139855
32,0.3365333333333333,1.491074782922817,0.001,0.37,1.5097061734125343
33,0.3432,1.4629243659160105,0.001,0.342,1.4833680192344585
34,0.3466666666666666,1.472811507021898,0.001,0.368,1.460873897225864
35,0.35493333333333327,1.4512331779739234,0.001,0.38,1.445798751194249
36,0.3644,1.4525854944061733,0.001,0.384,1.500262782846758
37,0.3707999999999999,1.4453542266394204,0.001,0.422,1.3930370546062605
38,0.37013333333333337,1.4391103513941907,0.001,0.352,1.5022031532681144
39,0.37560000000000004,1.439341390373749,0.001,0.376,1.4583788004985474
40,0.3996,1.399244616754342,0.001,0.384,1.4021899615242377
41,0.37279999999999996,1.4281328647603422,0.001,0.362,1.478241403127365
42,0.37839999999999996,1.4238784100890411,0.001,0.366,1.4719121055122353
43,0.35919999999999985,1.4376479544065948,0.001,0.362,1.462697915327408
44,0.3794666666666667,1.428676933579733,0.001,0.35,1.4812876758353644
45,0.3709333333333333,1.4335863216657194,0.001,0.362,1.4640779020995915
46,0.3905333333333334,1.39822371871446,0.001,0.342,1.4571499257452296
47,0.40266666666666656,1.3947635440937904,0.001,0.368,1.4637018472519432
48,0.41319999999999985,1.370767086245182,0.001,0.366,1.488823268437339
49,0.38146666666666645,1.416617824769154,0.001,0.34,1.5395826205564591
50,0.3931999999999997,1.408896804760196,0.001,0.41,1.4233510887310226
