epoch,categorical_accuracy,loss,lr,val_5-shot_5-way_acc,val_loss
1,0.3121333333333334,8.227686287215699,0.001,0.292,3.138287097642605
2,0.31386666666666657,1.9671527023688287,0.001,0.356,1.6415122641715356
3,0.33053333333333335,1.6109067556532781,0.001,0.312,1.6198630058947847
4,0.35013333333333335,1.5344002383710094,0.001,0.354,1.53685829583639
5,0.36946666666666667,1.5063813314735903,0.001,0.396,1.4408148044048994
6,0.3888,1.4593049039690755,0.001,0.366,1.4377506618334848
7,0.4165333333333331,1.4022842036138439,0.001,0.37,1.465919355198541
8,0.4117333333333334,1.4156951184762092,0.001,0.414,1.4220047928742465
9,0.4150666666666665,1.3954938365665797,0.001,0.438,1.3839995851374913
10,0.4171999999999998,1.3926875859121062,0.001,0.45,1.3971803120166162
11,0.4462666666666668,1.344399012805393,0.001,0.464,1.3538957810042909
12,0.4544000000000002,1.3266908689742598,0.001,0.41,1.3808843054769844
13,0.4394666666666665,1.354212056479814,0.001,0.452,1.3746451770845594
14,0.4625333333333332,1.3094487952724518,0.001,0.422,1.3886782220448743
15,0.4680000000000003,1.2969478378311874,0.001,0.474,1.2751329832525984
16,0.4577333333333332,1.3207272427911607,0.001,0.424,1.39602649498279
17,0.47453333333333314,1.291259766042172,0.001,0.428,1.326165177791085
18,0.45759999999999984,1.315938629501104,0.001,0.454,1.383922946994253
19,0.4561333333333333,1.3083521553800184,0.001,0.4,1.4132359596057675
20,0.46346666666666647,1.2878670549445925,0.001,0.424,1.3983644629992893
21,0.4725333333333336,1.300238155639712,0.001,0.434,1.340359156538993
22,0.4949333333333336,1.2562095567533835,0.001,0.424,1.3736886209587695
23,0.47053333333333314,1.2861683190193163,0.001,0.514,1.2727623514049424
24,0.4957333333333333,1.239087610108735,0.001,0.446,1.3550572569722774
25,0.4852,1.264287975074586,0.001,0.442,1.3434826560252127
26,0.4770666666666666,1.2916986083687028,0.001,0.48,1.2587222365266335
27,0.4974666666666665,1.2526636035689782,0.001,0.466,1.2936238448809672
28,0.48573333333333335,1.251897020237958,0.001,0.498,1.2405238126125717
29,0.48826666666666685,1.2279044352427433,0.001,0.48,1.2876883664083962
30,0.49813333333333326,1.232888335833205,0.001,0.47,1.2958845723852648
31,0.4793333333333333,1.2751641633912387,0.001,0.528,1.1941284348865353
32,0.4954666666666665,1.2270314812416419,0.001,0.468,1.3035596154243838
33,0.5097333333333331,1.226005306161189,0.001,0.436,1.4081884174006298
34,0.5226666666666664,1.1959518341395725,0.001,0.476,1.3349652523673083
35,0.49306666666666643,1.2451708957218819,0.001,0.468,1.2850990217448535
36,0.5045333333333334,1.234764054525017,0.001,0.478,1.316525273115686
37,0.5285333333333333,1.1815826123133706,0.001,0.5,1.233722096867036
38,0.4933333333333333,1.2231125057582308,0.001,0.474,1.2912326738201094
39,0.5081333333333333,1.2095783602413295,0.001,0.484,1.3104517516244807
40,0.5070666666666668,1.1959831422681528,0.0005,0.514,1.2274729727519376
41,0.5338666666666669,1.1667601759227613,0.0005,0.542,1.2043117685438411
42,0.5089333333333335,1.2017854216252808,0.0005,0.502,1.276742986884015
43,0.5188000000000001,1.1855848639224202,0.0005,0.484,1.2746276433558132
44,0.5113333333333333,1.194594172187271,0.0005,0.456,1.3257146961317123
45,0.5299999999999997,1.166958563781271,0.0005,0.49,1.2526675563285412
46,0.5320000000000001,1.162397610583664,0.0005,0.502,1.2551435904901878
47,0.5141333333333332,1.2026791672480543,0.0005,0.478,1.2520250650260343
48,0.5283999999999999,1.1544397012295147,0.0005,0.41,1.3590560058325474
49,0.5366666666666666,1.1621325434333614,0.0005,0.488,1.2722344005679067
50,0.5337333333333334,1.158756489810955,0.0005,0.488,1.327901892757937
51,0.5373333333333334,1.155868319301607,0.0005,0.482,1.3181521398882032
52,0.5452000000000001,1.1277594329803857,0.0005,0.488,1.2637242633656203
53,0.5304000000000001,1.1702062319982227,0.0005,0.472,1.249018017352617
54,0.5389333333333335,1.1543598602457408,0.0005,0.514,1.2437536070279955
55,0.5405333333333331,1.1456502697622606,0.0005,0.512,1.2252797301201082
56,0.5312,1.1673763886640378,0.0005,0.526,1.2298887023849263
57,0.5496,1.122789490586081,0.0005,0.494,1.29403443859725
58,0.5511999999999999,1.1350937788617808,0.0005,0.482,1.25238707557013
59,0.5187999999999999,1.1871451784775457,0.0005,0.474,1.3256666695099095
60,0.5345333333333334,1.145718864195704,0.0005,0.506,1.253238242892896
61,0.5405333333333332,1.1525302210449448,0.0005,0.526,1.1979713045027127
62,0.5431999999999999,1.1472203998253168,0.0005,0.472,1.3172693722741535
63,0.5617333333333334,1.0870200317343264,0.0005,0.482,1.2626434105149857
64,0.5629333333333336,1.0841018139069452,0.0005,0.52,1.241943166251104
65,0.5518666666666667,1.1158833253529006,0.0005,0.522,1.1942246276503778
66,0.5514666666666664,1.113403482159991,0.0005,0.522,1.2065246446273812
67,0.5477333333333335,1.1132810037877734,0.0005,0.516,1.2149219937121345
68,0.5452,1.1314353337899172,0.0005,0.542,1.2244335695764093
69,0.5528000000000001,1.1131190838735057,0.0005,0.534,1.1546388110937216
70,0.5476000000000001,1.1257140836471087,0.0005,0.496,1.2367889794291462
71,0.5558666666666666,1.1164589680191397,0.0005,0.512,1.2284342172453346
72,0.5498666666666666,1.1179501083036794,0.0005,0.476,1.265208333548758
73,0.5587999999999999,1.090366627194675,0.0005,0.516,1.207789650537622
74,0.5653333333333336,1.093493587406228,0.0005,0.536,1.1943204582700309
75,0.5613333333333332,1.0971438620274905,0.0005,0.534,1.190058378599171
76,0.5448,1.1334401143911155,0.0005,0.496,1.2268979249281344
77,0.5648000000000002,1.0843776177045483,0.0005,0.486,1.3622845321973507
78,0.55,1.0991469593422876,0.0005,0.556,1.1522015146435707
79,0.5713333333333334,1.060540920223156,0.0005,0.502,1.2677014387795673
80,0.5789333333333334,1.0559141397761014,0.00025,0.52,1.20441909882366
