epoch,categorical_accuracy,loss,lr,val_5-shot_5-way_acc,val_loss
1,0.4765333333333335,1.2183595053236889,0.001,0.344,1.5262976273201851
2,0.5419999999999999,1.0440076958074007,0.001,0.336,1.5768473261295077
3,0.5994666666666667,0.9053482451967112,0.001,0.322,1.6806366520809053
4,0.6321333333333334,0.8494871439870008,0.001,0.312,1.5966774262902594
5,0.6577333333333333,0.7725286817617959,0.001,0.284,1.6599554833515928
6,0.6701333333333337,0.7519566749461751,0.001,0.352,1.5490410985537788
7,0.6693333333333333,0.7348129393961811,0.001,0.31,1.66549813314413
8,0.6904,0.6860189201105125,0.001,0.33,1.566717847423623
9,0.7062666666666668,0.6487265434755699,0.001,0.338,1.5499139846555403
10,0.7012000000000004,0.655424076011473,0.001,0.354,1.5808947018943698
11,0.7140000000000001,0.6206628000113869,0.001,0.3,1.7026666423218761
12,0.7283999999999999,0.6113804061672957,0.001,0.308,1.6337208164207007
13,0.7172,0.6211263129790879,0.001,0.314,1.6259664460771397
14,0.7181333333333335,0.6117805398335203,0.001,0.344,1.5616573144587216
15,0.6957333333333331,0.6324975784567621,0.001,0.334,1.564380297777972
16,0.7414666666666667,0.573566007501518,0.001,0.328,1.6566936143742172
17,0.7382666666666664,0.5563658991181367,0.001,0.296,1.6193610761936348
18,0.7518666666666668,0.5354204164254298,0.001,0.326,1.569446261871201
19,0.7470666666666667,0.5549466343483126,0.001,0.334,1.5867305550498096
20,0.7445333333333332,0.5390767746041994,0.001,0.358,1.5533681141283382
21,0.7541333333333334,0.5006162828168373,0.001,0.326,1.5865533907188334
22,0.7470666666666667,0.5223824283020807,0.001,0.276,1.6180829766526208
23,0.7358666666666666,0.5469497700328803,0.001,0.326,1.6017331552450824
24,0.7177333333333332,0.5751644929917574,0.001,0.342,1.541753801546165
25,0.7644000000000004,0.4856740654909901,0.001,0.316,1.629587022857777
26,0.7533333333333334,0.5137193727365517,0.001,0.296,1.6269610525505123
27,0.7557333333333334,0.49682123470898787,0.001,0.356,1.5310675685948258
28,0.7498666666666665,0.5072717244449008,0.001,0.324,1.6018145097548664
29,0.7677333333333333,0.4771388535628923,0.001,0.362,1.510881580264362
30,0.7502666666666667,0.5020670946528504,0.001,0.296,1.5772134410427763
31,0.7686666666666663,0.49048167424486955,0.001,0.324,1.596762996628161
32,0.7725333333333334,0.48856234623377065,0.001,0.348,1.514284177808402
33,0.7626666666666666,0.4758520309194656,0.001,0.31,1.5621183175777693
34,0.7910666666666667,0.4299456169613453,0.001,0.34,1.5679078933070079
35,0.7590666666666668,0.49080456207107226,0.001,0.348,1.5534996904976712
36,0.7840000000000003,0.451727247082065,0.001,0.364,1.5464884981248914
37,0.7550666666666669,0.5098882829003939,0.001,0.29,1.6049798987417168
38,0.7843999999999997,0.44602034109696737,0.001,0.312,1.586477022286459
39,0.7725333333333333,0.4653337117262123,0.001,0.276,1.5913914067850576
40,0.7981333333333334,0.40258092135572615,0.0005,0.348,1.5283834050999368
41,0.7873333333333331,0.42533305625722645,0.0005,0.328,1.5508016883653621
42,0.7764000000000002,0.4385123019673476,0.0005,0.36,1.5390779792437024
43,0.7909333333333332,0.4172063770625706,0.0005,0.35,1.4971279764723286
44,0.7994666666666663,0.4044782342009651,0.0005,0.356,1.5926325582990357
45,0.7889333333333336,0.41253496568129855,0.0005,0.352,1.491959472763304
46,0.7857333333333335,0.42603689818277657,0.0005,0.358,1.5138360674679012
47,0.7874666666666669,0.42942080275597255,0.0005,0.314,1.5970054380893448
48,0.8046666666666664,0.37654157111502423,0.0005,0.288,1.5979075625176475
49,0.7885333333333332,0.4173055771553696,0.0005,0.388,1.4963986065765378
50,0.7734666666666663,0.4425344428294698,0.0005,0.316,1.5914097980542652
51,0.8026666666666664,0.3923665334780647,0.0005,0.344,1.4977160086243653
52,0.7968000000000001,0.40044045151232976,0.0005,0.328,1.5418278050130894
53,0.7782666666666666,0.43610774606467717,0.0005,0.35,1.5618264091342908
54,0.7967999999999997,0.4205855309039069,0.0005,0.348,1.5879177894430518
55,0.7968000000000002,0.4007549616385095,0.0005,0.38,1.5004119870788264
56,0.7806666666666666,0.41861983826157684,0.0005,0.344,1.5599657987634887
57,0.7721333333333333,0.4453062714778354,0.0005,0.344,1.5114227193963201
58,0.7825333333333332,0.41922785296410586,0.0005,0.318,1.5726572558771659
59,0.8054666666666668,0.3850980007639054,0.0005,0.336,1.5334902753332988
60,0.7965333333333335,0.4061057748698599,0.0005,0.362,1.5475846507546813
61,0.7971999999999998,0.40693745140554227,0.0005,0.346,1.518019220796657
62,0.7861333333333335,0.41441878044784886,0.0005,0.302,1.603199844548024
63,0.8137333333333335,0.3683320966793232,0.0005,0.314,1.5861745907445142
64,0.7859999999999999,0.42868773954602724,0.0005,0.334,1.6115156931361716
65,0.7991999999999997,0.40086373885156484,0.0005,0.322,1.6218756822450782
66,0.7872000000000001,0.4180107868134011,0.0005,0.292,1.634456503060025
67,0.8015999999999999,0.3916808801324294,0.0005,0.332,1.5759605827260934
68,0.7914666666666667,0.41481817584967895,0.0005,0.344,1.5453607889672698
69,0.7934666666666668,0.4004520218346763,0.0005,0.312,1.578821176860086
70,0.7765333333333334,0.42729275256167454,0.0005,0.306,1.5999681499592215
71,0.7849333333333333,0.417379386199723,0.0005,0.316,1.570001499374388
72,0.7845333333333331,0.4145209066596416,0.0005,0.34,1.5596511491179283
73,0.7844,0.41900426015713826,0.0005,0.354,1.5279724570679063
74,0.7765333333333335,0.424368562780019,0.0005,0.344,1.5436285592959256
75,0.8107999999999995,0.37153190737234104,0.0005,0.322,1.5672848747200698
76,0.8243999999999998,0.3471573903559013,0.0005,0.302,1.594888694501968
77,0.7973333333333332,0.40510840359371364,0.0005,0.326,1.5467335476075144
78,0.7977333333333334,0.40616071125537023,0.0005,0.338,1.5504333302110058
79,0.7931999999999998,0.4036272729773957,0.0005,0.326,1.577603129193062
80,0.8253333333333327,0.3540629046153058,0.00025,0.382,1.4800507770224902
